Percent of Popular Vote,Candidate,Party Label,Popular Vote Total
58.77,Ronald Reagan,Republican,54455075
40.56,Walter F. Mondale,Democratic,37577185
0.00,John B. Anderson,National Unity Party of Ky,1479
0.00,Gerald Baker,Big Deal,892
0.25,David Bergland,Libertarian,227204
0.01,Delmar Dennis,American,13149
0.00,Earl F. Dodge,Prohibition,4235
0.04,Gus Hall,Communist,36225
0.00,Gavrielle Holmes,Workers World,2656
0.02,Larry Holmes,Workers World,15327
0.08,Sonia Johnson,Citizens,71976
0.09,"Lyndon H. LaRouche, Jr.",Independent,78773
0.00,Arthur J. Lowery,United Sovereign Citizens,822
0.03,Mel Mason,Socialist Workers,24681
0.07,Bob Richards,Populist,66241
0.05,Dennis L. Serrette,Independent Alliance,46809
0.01,Ed Winn,Workers League,10798
0.02,Write-In,,19315
